"Item #"	"Description"	"Exceeds Criteria"	"Meets Criteria"	"Does Not Meet Criteria"	"Source"	"Exceeds Cutoff"	"Meets Cutoff"	"Team Item"	"Survey Item"	"Individual Item"	"Question"
11	"Format/style [g1]"	"Accurate and proper use of figures, tables and captions, references and bibliography, and appendices."	"Proper use of figures, tables and captions, references and bibliography, and appendices with minor error."	"Inappropriate use of figures, tables and captions, references and bibliography, and appendices with major errors."	"484 Final Report Format/Style Grade"	8.99	7.6	1	0	0	
12	"Grammar and spelling [g1]"	"Correct."	"Minor mistakes."	"Incorrect most of the times."	"484 Final Report Grammar and Spelling grade"	8.99	7.6	1	0	0	
13	"Appearance [g2]"	"Neat and professional."	"Casual but appropriate."	"Inappropriate."	"assessment of their Appearance during the 484 final presentations"	4.99	2.99	0	0	1	
14	"Delivery [g2]"	"Effective and well organized delivery."	"Delivery with minor error, but can be followed and understood."	"Poor delivery, difficult to follow and understand. "	"assessment of their Delivery during the 484 final presentations"	4.99	2.99	0	0	1	
15	"Features [g2]"	"Uses effective eye contact and voice projection, speaks comfortably and smoothly, does not block visual aides."	"Has some difficulty with eye contact and voice projection, occasionally blocks screen and shows nervousness."	"Has major difficulties with eye contact and voice projection,  blocks the screen and reads from it. Displays most of the times signs of nervousness."	"assessment of their eye contact and voice projection during the 484 final presentations"	4.99	2.99	0	0	1	
16	"Visual aides [g2, k]"	"Uses visual aides effectively."	"Uses visual aides with minor error."	"Uses visual aides poorly."	"assessment of their use of Visual Aides during the 484 final presentations"	4.99	2.99	0	0	1	
17	"Listening to and answering questions [g2]"	"Carefully listens to questions and responds appropriately."	"Listen to questions and responds with minor error."	"Misunderstand questions and provides wrong answers."	"assessment of their responses to questions during the 484 final presentations"	4.99	2.99	0	0	1	
18	"Background issues [h]"	"Does researches and is familiar with historical, social, cultural, environmental, and ethical background and issues."	"Is somewhat familiar with historical, social, cultural, environmental, and ethical background and issues."	"Is not at all familiar with historical, social, cultural, environmental, and ethical background and issues."	"482 Ethical Issues and Societal Impact Paper (Societal Impact grade)"	4.99	2.99	1	0	0	
19	"Contemporary Issues [h, j]"	"Identifies the contemporary issues associated with the project and discusses these issues thoroughly in the proposal"	"Identifies most of the contemporary issues associated with project, but misses some; discussion of the issues in the text is not completely thorough"	"Fails to recognize key issues or the discussion is cursory"	"482 proposal paper Contemporary Issues grade (this is a required section of the proposal)"	8.99	7.6	1	0	0	
20	" Recognizes the need for LLL [i]"	"Makes a strong argument connecting the need for LLL to his or her career plans"	"Mentions why LLL is important in his or her LLL plan"	"Fails to mention why LLL is necessary or down plays its importance"	"assessment of the Life-Long Learning (LLL) papers: Recognizes the Need for LLL"	4.99	2.99	0	0	1	
21	"Feels prepared for LLL [i]"	"Makes a strong argument for how the SIUE ME program has prepared him or her for LLL"	"Mentions ways that the SIUE ME program has prepared him or her for LLL"	"Fails to mention feeling prepared for LLL or says he or she does not feel prepared"	"assessment of the Life-Long Learning (LLL) papers: Is Prepared to Engage in LLL"	4.99	2.99	0	0	1	
22	"Computers and Software [k]"	"Computer-based tools and technical software were used extensively in the project; new software was learned as needed"	"Computer-based tools and technical software were somewhat utilized; some effort was put into learning new software as needed"	"Technical software was not utilized; no attempt was made at learning new software"	"484 Final Report Computers and Software grade"	8.99	7.6	1	0	0	
